Year,Week_Number,mean_return,volatility
2017,24,0.028000000000000004,0.5722516928764825
2017,25,2.5180000000000002,3.413568806981925
2017,26,-0.3188,0.5861746326821043
2017,27,-0.39050000000000007,1.2139809169285432
2017,28,0.48660000000000003,0.4768199869971895
2017,29,0.1718,0.6207444723877934
2017,30,-0.19499999999999998,0.7963727142487995
2017,31,-0.1334,0.7768113026984096
2017,32,-0.6952,0.880227356993635
2017,33,0.16120000000000004,1.030658381812325
2017,34,0.2546,0.43840369523990097
2017,35,0.5548,0.3897424790807386
2017,36,0.47250000000000003,0.7259910467767491
2017,37,-1.0674,3.7603944340986355
2017,38,-0.23819999999999997,0.4903358033021859
2017,39,0.0796,0.4270717738273041
2017,40,0.02280000000000002,0.739729139618009
2017,41,0.1658,0.3637013885043608
2017,42,0.263,0.5610993673138476
2017,43,0.6564,0.8602356072611735
